gid,pk,pk_vaw,pk_sgi,name_full,name_short
1271,80f118b0-4ec8-11e8-a4be-985fd331b2ee,NULL,A51e-29,Deieren Älpetli,
1272,df0af896-7a05-11ec-90d6-0242ac120003,NULL,A51e-30,Blaubergpass,
1273,df0af9a4-7a05-11ec-90d6-0242ac120003,NULL,A51e-31,Mittlere Wilde Böden,
1274,80e8661e-4ec8-11e8-ade8-985fd331b2ee,NULL,A51e-32,Chli Furkahorn,
1275,80e9ecc0-4ec8-11e8-9ee3-985fd331b2ee,NULL,A51e-33,Sidelengrat E,
1276,804a2a4f-4ec8-11e8-a402-985fd331b2ee,NULL,B36-16,Jegi,
1277,80ec5dc0-4ec8-11e8-9069-985fd331b2ee,NULL,A51e-34,Gross Furka,
1278,80f00740-4ec8-11e8-91b2-985fd331b2ee,NULL,A51e-35,Sidelengletscher (UR),
1279,80fcb170-4ec8-11e8-95a0-985fd331b2ee,NULL,A51e-38,Sunnig Berg W,
1280,8179a9a1-4ec8-11e8-8f9a-985fd331b2ee,281,A14l-20,Russein,russein
1281,81b6165e-4ec8-11e8-963c-985fd331b2ee,292,A14o-01,Plaun Grond,siat
1282,df0a94dc-7a05-11ec-90d6-0242ac120003,294,A14p-13,Pass dil Segnas,segnessut
1283,7fca9a0f-4ec8-11e8-8ba9-985fd331b2ee,NULL,A55b-36,Howide E,
1284,81a351b0-4ec8-11e8-adf7-985fd331b2ee,290,A14n-10,Glatscher da Fluaz,fluaz
1285,7fc91370-4ec8-11e8-914a-985fd331b2ee,NULL,A55b-37,Hockenhorn,
1286,7fc80200-4ec8-11e8-9c32-985fd331b2ee,NULL,A55b-38,Hockenhorn W,
1287,bb1db198-74a9-11ea-bc55-0242ac130003,310,A14p-12,Ringelfirn,ringel
1288,bb1dcdfe-74a9-11ea-bc55-0242ac130003,272,A50h-09,Tschingel,tschingel
1289,81793470-4ec8-11e8-8224-985fd331b2ee,NULL,A50i-17,Sandfirn E,
1290,81be7acf-4ec8-11e8-827c-985fd331b2ee,276,A22-02,Blauschnee,blauschnee
1291,81bf8c40-4ec8-11e8-bfbd-985fd331b2ee,275,A22-01,Säntis,grossschnee
1292,8100d01e-4ec8-11e8-b739-985fd331b2ee,NULL,A51e-39,Sunnig Berg,
1293,df0afba2-7a05-11ec-90d6-0242ac120003,NULL,A51e-40,Winterstock,
